Currency,Strike,Total_GEX,Total_Abs_Gamma,Daily_Call_Settle,Daily_Call_OI,Daily_Put_Settle,Daily_Put_OI,Global_Call_OI,Global_Put_OI,R68_High,R68_Low,R95_High,R95_Low,Global_Month,Daily_Month,Daily_Expiry,Global_Expiry,Futures_Spot,Gamma_Flip,Gamma_Flip_Status,Quality_Status,Quality_Reasons,Series_Catalog_Version,Spot_Source,Spot_Reference_Month,Spot_Month_Sources,Spot_Observed_Values,Spot_Fallback_Details,IV_Source,IV_Expiry,IV_DTE,IV_Input_Rows,IV_Reference_Strike,IV_Fallback_Reason,Input_Rows,Used_Rows,Excluded_Unknown_Rows,Excluded_Unresolved_Expiry_Rows,Excluded_Expired_Rows,Unknown_Option_Types,Estimated_Expiry_Types,Anomaly_Status,Anomaly_Codes,Anomaly_Details,Anomaly_Baseline_Date
GBP,1.425,550852.5762892951,30733131.043960027,0.0,0.0,0.0,0.0,0.0,0.0,1.3435373525306837,1.3336626474693167,1.3484747050613672,1.3287252949386332,OCT26,SEP26,2026-09-21,2026-10-09,1.3386000000000002,1.35165728227259,FOUND,ESTIMATED,ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;DEC27=SERIES_FORWARD_CLUSTER;AUG27=SERIES_FORWARD_CLUSTER,SEP26=1.3386;OCT26=1.3385;NOV26=1.3386;DEC26=1.3388;JAN27=1.33875;MAR27=1.33905;FEB27=1.3387;JUN27=1.339;SEP27=1.3387;MAY27=1.3379;JUL27=1.33855;APR27=1.3389;DEC27=1.1339;AUG27=1.3488,NONE,WEIGHTED_ATM,2026-09-25,6,10,0.0,NONE,1248,616,0,0,84,NONE,MGM;SBP;TGB;WGB,OK,NONE,NONE,2026-09-16
GBP,1.43,1191950.7287187027,66840887.67342868,0.0,0.0,0.0,0.0,0.0,0.0,1.3435373525306837,1.3336626474693167,1.3484747050613672,1.3287252949386332,OCT26,SEP26,2026-09-21,2026-10-09,1.3386000000000002,1.35165728227259,FOUND,ESTIMATED,ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;DEC27=SERIES_FORWARD_CLUSTER;AUG27=SERIES_FORWARD_CLUSTER,SEP26=1.3386;OCT26=1.3385;NOV26=1.3386;DEC26=1.3388;JAN27=1.33875;MAR27=1.33905;FEB27=1.3387;JUN27=1.339;SEP27=1.3387;MAY27=1.3379;JUL27=1.33855;APR27=1.3389;DEC27=1.1339;AUG27=1.3488,NONE,WEIGHTED_ATM,2026-09-25,6,10,0.0,NONE,1248,616,0,0,84,NONE,MGM;SBP;TGB;WGB,OK,NONE,NONE,2026-09-16
GBP,1.44,103501.62469121662,6026757.047026085,0.0,0.0,0.0,0.0,0.0,0.0,1.3435373525306837,1.3336626474693167,1.3484747050613672,1.3287252949386332,OCT26,SEP26,2026-09-21,2026-10-09,1.3386000000000002,1.35165728227259,FOUND,ESTIMATED,ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;DEC27=SERIES_FORWARD_CLUSTER;AUG27=SERIES_FORWARD_CLUSTER,SEP26=1.3386;OCT26=1.3385;NOV26=1.3386;DEC26=1.3388;JAN27=1.33875;MAR27=1.33905;FEB27=1.3387;JUN27=1.339;SEP27=1.3387;MAY27=1.3379;JUL27=1.33855;APR27=1.3389;DEC27=1.1339;AUG27=1.3488,NONE,WEIGHTED_ATM,2026-09-25,6,10,0.0,NONE,1248,616,0,0,84,NONE,MGM;SBP;TGB;WGB,OK,NONE,NONE,2026-09-16
GBP,1.45,52983.86291524644,2956141.3001281023,0.0,0.0,0.0,0.0,0.0,0.0,1.3435373525306837,1.3336626474693167,1.3484747050613672,1.3287252949386332,OCT26,SEP26,2026-09-21,2026-10-09,1.3386000000000002,1.35165728227259,FOUND,ESTIMATED,ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;DEC27=SERIES_FORWARD_CLUSTER;AUG27=SERIES_FORWARD_CLUSTER,SEP26=1.3386;OCT26=1.3385;NOV26=1.3386;DEC26=1.3388;JAN27=1.33875;MAR27=1.33905;FEB27=1.3387;JUN27=1.339;SEP27=1.3387;MAY27=1.3379;JUL27=1.33855;APR27=1.3389;DEC27=1.1339;AUG27=1.3488,NONE,WEIGHTED_ATM,2026-09-25,6,10,0.0,NONE,1248,616,0,0,84,NONE,MGM;SBP;TGB;WGB,OK,NONE,NONE,2026-09-16
GBP,1.46,3687.6838803599503,206018.57430958832,0.0,0.0,0.0,0.0,0.0,0.0,1.3435373525306837,1.3336626474693167,1.3484747050613672,1.3287252949386332,OCT26,SEP26,2026-09-21,2026-10-09,1.3386000000000002,1.35165728227259,FOUND,ESTIMATED,ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;DEC27=SERIES_FORWARD_CLUSTER;AUG27=SERIES_FORWARD_CLUSTER,SEP26=1.3386;OCT26=1.3385;NOV26=1.3386;DEC26=1.3388;JAN27=1.33875;MAR27=1.33905;FEB27=1.3387;JUN27=1.339;SEP27=1.3387;MAY27=1.3379;JUL27=1.33855;APR27=1.3389;DEC27=1.1339;AUG27=1.3488,NONE,WEIGHTED_ATM,2026-09-25,6,10,0.0,NONE,1248,616,0,0,84,NONE,MGM;SBP;TGB;WGB,OK,NONE,NONE,2026-09-16
GBP,1.47,60309.80463698194,3364716.6947755613,0.0,0.0,0.0,0.0,0.0,0.0,1.3435373525306837,1.3336626474693167,1.3484747050613672,1.3287252949386332,OCT26,SEP26,2026-09-21,2026-10-09,1.3386000000000002,1.35165728227259,FOUND,ESTIMATED,ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;DEC27=SERIES_FORWARD_CLUSTER;AUG27=SERIES_FORWARD_CLUSTER,SEP26=1.3386;OCT26=1.3385;NOV26=1.3386;DEC26=1.3388;JAN27=1.33875;MAR27=1.33905;FEB27=1.3387;JUN27=1.339;SEP27=1.3387;MAY27=1.3379;JUL27=1.33855;APR27=1.3389;DEC27=1.1339;AUG27=1.3488,NONE,WEIGHTED_ATM,2026-09-25,6,10,0.0,NONE,1248,616,0,0,84,NONE,MGM;SBP;TGB;WGB,OK,NONE,NONE,2026-09-16
GBP,1.48,24130.018075925465,1346268.7486332662,0.0,0.0,0.0,0.0,0.0,0.0,1.3435373525306837,1.3336626474693167,1.3484747050613672,1.3287252949386332,OCT26,SEP26,2026-09-21,2026-10-09,1.3386000000000002,1.35165728227259,FOUND,ESTIMATED,ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;DEC27=SERIES_FORWARD_CLUSTER;AUG27=SERIES_FORWARD_CLUSTER,SEP26=1.3386;OCT26=1.3385;NOV26=1.3386;DEC26=1.3388;JAN27=1.33875;MAR27=1.33905;FEB27=1.3387;JUN27=1.339;SEP27=1.3387;MAY27=1.3379;JUL27=1.33855;APR27=1.3389;DEC27=1.1339;AUG27=1.3488,NONE,WEIGHTED_ATM,2026-09-25,6,10,0.0,NONE,1248,616,0,0,84,NONE,MGM;SBP;TGB;WGB,OK,NONE,NONE,2026-09-16
GBP,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3435373525306837,1.3336626474693167,1.3484747050613672,1.3287252949386332,OCT26,SEP26,2026-09-21,2026-10-09,1.3386000000000002,1.35165728227259,FOUND,ESTIMATED,ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;DEC27=SERIES_FORWARD_CLUSTER;AUG27=SERIES_FORWARD_CLUSTER,SEP26=1.3386;OCT26=1.3385;NOV26=1.3386;DEC26=1.3388;JAN27=1.33875;MAR27=1.33905;FEB27=1.3387;JUN27=1.339;SEP27=1.3387;MAY27=1.3379;JUL27=1.33855;APR27=1.3389;DEC27=1.1339;AUG27=1.3488,NONE,WEIGHTED_ATM,2026-09-25,6,10,0.0,NONE,1248,616,0,0,84,NONE,MGM;SBP;TGB;WGB,OK,NONE,NONE,2026-09-16
GBP,1.5,4463.770147408983,249104.58999758618,0.0,0.0,0.0,0.0,0.0,0.0,1.3435373525306837,1.3336626474693167,1.3484747050613672,1.3287252949386332,OCT26,SEP26,2026-09-21,2026-10-09,1.3386000000000002,1.35165728227259,FOUND,ESTIMATED,ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;DEC27=SERIES_FORWARD_CLUSTER;AUG27=SERIES_FORWARD_CLUSTER,SEP26=1.3386;OCT26=1.3385;NOV26=1.3386;DEC26=1.3388;JAN27=1.33875;MAR27=1.33905;FEB27=1.3387;JUN27=1.339;SEP27=1.3387;MAY27=1.3379;JUL27=1.33855;APR27=1.3389;DEC27=1.1339;AUG27=1.3488,NONE,WEIGHTED_ATM,2026-09-25,6,10,0.0,NONE,1248,616,0,0,84,NONE,MGM;SBP;TGB;WGB,OK,NONE,NONE,2026-09-16
GBP,1.51,533.7383425056651,29778.100769757704,0.0,0.0,0.0,0.0,0.0,0.0,1.3435373525306837,1.3336626474693167,1.3484747050613672,1.3287252949386332,OCT26,SEP26,2026-09-21,2026-10-09,1.3386000000000002,1.35165728227259,FOUND,ESTIMATED,ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;DEC27=SERIES_FORWARD_CLUSTER;AUG27=SERIES_FORWARD_CLUSTER,SEP26=1.3386;OCT26=1.3385;NOV26=1.3386;DEC26=1.3388;JAN27=1.33875;MAR27=1.33905;FEB27=1.3387;JUN27=1.339;SEP27=1.3387;MAY27=1.3379;JUL27=1.33855;APR27=1.3389;DEC27=1.1339;AUG27=1.3488,NONE,WEIGHTED_ATM,2026-09-25,6,10,0.0,NONE,1248,616,0,0,84,NONE,MGM;SBP;TGB;WGB,OK,NONE,NONE,2026-09-16
GBP,1.52,4004.6509755204906,223581.6198347559,0.0,0.0,0.0,0.0,0.0,0.0,1.3435373525306837,1.3336626474693167,1.3484747050613672,1.3287252949386332,OCT26,SEP26,2026-09-21,2026-10-09,1.3386000000000002,1.35165728227259,FOUND,ESTIMATED,ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;DEC27=SERIES_FORWARD_CLUSTER;AUG27=SERIES_FORWARD_CLUSTER,SEP26=1.3386;OCT26=1.3385;NOV26=1.3386;DEC26=1.3388;JAN27=1.33875;MAR27=1.33905;FEB27=1.3387;JUN27=1.339;SEP27=1.3387;MAY27=1.3379;JUL27=1.33855;APR27=1.3389;DEC27=1.1339;AUG27=1.3488,NONE,WEIGHTED_ATM,2026-09-25,6,10,0.0,NONE,1248,616,0,0,84,NONE,MGM;SBP;TGB;WGB,OK,NONE,NONE,2026-09-16
GBP,1.54,1553.43438248018,86681.49369588443,0.0,0.0,0.0,0.0,0.0,0.0,1.3435373525306837,1.3336626474693167,1.3484747050613672,1.3287252949386332,OCT26,SEP26,2026-09-21,2026-10-09,1.3386000000000002,1.35165728227259,FOUND,ESTIMATED,ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;DEC27=SERIES_FORWARD_CLUSTER;AUG27=SERIES_FORWARD_CLUSTER,SEP26=1.3386;OCT26=1.3385;NOV26=1.3386;DEC26=1.3388;JAN27=1.33875;MAR27=1.33905;FEB27=1.3387;JUN27=1.339;SEP27=1.3387;MAY27=1.3379;JUL27=1.33855;APR27=1.3389;DEC27=1.1339;AUG27=1.3488,NONE,WEIGHTED_ATM,2026-09-25,6,10,0.0,NONE,1248,616,0,0,84,NONE,MGM;SBP;TGB;WGB,OK,NONE,NONE,2026-09-16
GBP,1.55,2484.5227190076057,138574.02077434564,0.0,0.0,0.0,0.0,0.0,0.0,1.3435373525306837,1.3336626474693167,1.3484747050613672,1.3287252949386332,OCT26,SEP26,2026-09-21,2026-10-09,1.3386000000000002,1.35165728227259,FOUND,ESTIMATED,ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;DEC27=SERIES_FORWARD_CLUSTER;AUG27=SERIES_FORWARD_CLUSTER,SEP26=1.3386;OCT26=1.3385;NOV26=1.3386;DEC26=1.3388;JAN27=1.33875;MAR27=1.33905;FEB27=1.3387;JUN27=1.339;SEP27=1.3387;MAY27=1.3379;JUL27=1.33855;APR27=1.3389;DEC27=1.1339;AUG27=1.3488,NONE,WEIGHTED_ATM,2026-09-25,6,10,0.0,NONE,1248,616,0,0,84,NONE,MGM;SBP;TGB;WGB,OK,NONE,NONE,2026-09-16
GBP,1.56,182.2434697836328,10163.853294705948,0.0,0.0,0.0,0.0,0.0,0.0,1.3435373525306837,1.3336626474693167,1.3484747050613672,1.3287252949386332,OCT26,SEP26,2026-09-21,2026-10-09,1.3386000000000002,1.35165728227259,FOUND,ESTIMATED,ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;DEC27=SERIES_FORWARD_CLUSTER;AUG27=SERIES_FORWARD_CLUSTER,SEP26=1.3386;OCT26=1.3385;NOV26=1.3386;DEC26=1.3388;JAN27=1.33875;MAR27=1.33905;FEB27=1.3387;JUN27=1.339;SEP27=1.3387;MAY27=1.3379;JUL27=1.33855;APR27=1.3389;DEC27=1.1339;AUG27=1.3488,NONE,WEIGHTED_ATM,2026-09-25,6,10,0.0,NONE,1248,616,0,0,84,NONE,MGM;SBP;TGB;WGB,OK,NONE,NONE,2026-09-16
GBP,1.57,2082.1865289307193,116185.81416551492,0.0,0.0,0.0,0.0,0.0,0.0,1.3435373525306837,1.3336626474693167,1.3484747050613672,1.3287252949386332,OCT26,SEP26,2026-09-21,2026-10-09,1.3386000000000002,1.35165728227259,FOUND,ESTIMATED,ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;DEC27=SERIES_FORWARD_CLUSTER;AUG27=SERIES_FORWARD_CLUSTER,SEP26=1.3386;OCT26=1.3385;NOV26=1.3386;DEC26=1.3388;JAN27=1.33875;MAR27=1.33905;FEB27=1.3387;JUN27=1.339;SEP27=1.3387;MAY27=1.3379;JUL27=1.33855;APR27=1.3389;DEC27=1.1339;AUG27=1.3488,NONE,WEIGHTED_ATM,2026-09-25,6,10,0.0,NONE,1248,616,0,0,84,NONE,MGM;SBP;TGB;WGB,OK,NONE,NONE,2026-09-16
